Date,Open,High,Low,Close,Adj Close,Volume
17-07-2019,2108,2125,2092.100098,2117.25,1947.950317,1802969
18-07-2019,2116.199951,2116.199951,2060,2065.949951,1900.752197,3072096
19-07-2019,2077,2097,2062.5,2076.949951,1910.872559,1953177
22-07-2019,2077,2117.449951,2068.800049,2109.899902,1941.187744,1920167
23-07-2019,2127.899902,2130,2102.399902,2112.449951,1943.533936,3538588
24-07-2019,2110,2120.800049,2076.5,2096.800049,1929.13562,2413196
25-07-2019,2108.899902,2135,2092.550049,2127.899902,1957.748291,2544464
26-07-2019,2129.800049,2129.800049,2095,2109.050049,1940.406128,1720592
29-07-2019,2110.800049,2142,2103.300049,2130,1959.680908,1647090
30-07-2019,2130,2185,2120.449951,2179.149902,2004.900391,2851672
31-07-2019,2171.75,2211.699951,2147.149902,2205.699951,2029.327759,3000677
01-08-2019,2200,2217.5,2166.25,2180.050049,2005.728394,2375236
02-08-2019,2173,2210,2165.5,2205.300049,2028.959839,2500816
05-08-2019,2199.899902,2252.25,2195.600098,2248.600098,2068.797363,3039682
06-08-2019,2232.800049,2251.949951,2211.449951,2214.899902,2037.792236,2885467
07-08-2019,2230,2238.5,2207.25,2213.449951,2036.457764,2165362
08-08-2019,2228.899902,2281,2218.899902,2258.100098,2077.537354,2073298
09-08-2019,2260,2267.899902,2241.350098,2246.25,2066.635254,1744550
13-08-2019,2245,2246.25,2194.300049,2199.449951,2023.577271,1647281
14-08-2019,2181.100098,2217.850098,2167.399902,2204.399902,2028.131714,1945002
16-08-2019,2241.399902,2241.399902,2143.25,2165.100098,1991.973999,3755507
19-08-2019,2180,2186,2157.699951,2163,1990.042114,974884
20-08-2019,2172,2205,2166.5,2186.75,2011.892944,1843611
21-08-2019,2184.949951,2202,2182.25,2186.199951,2011.386963,1214408
22-08-2019,2187,2235.649902,2170,2216,2038.804199,2131601
23-08-2019,2214.949951,2259.899902,2213.899902,2247.699951,2067.969727,2826425
26-08-2019,2247,2282,2225,2276.300049,2094.281982,2345475
27-08-2019,2270,2274.850098,2229,2236.5,2057.665039,3432106
28-08-2019,2240,2252.149902,2216,2239.25,2060.194824,1294621
29-08-2019,2222.199951,2248.199951,2222.199951,2233.449951,2054.858887,1670652
30-08-2019,2241,2266,2218,2259.600098,2078.917725,2583625
03-09-2019,2270,2296.199951,2236.949951,2251.600098,2071.557617,2545060
04-09-2019,2265,2270,2233,2245.399902,2065.853516,2228092
05-09-2019,2242.199951,2253.649902,2207.300049,2215.300049,2038.160156,2055943
06-09-2019,2216,2233.5,2192.600098,2197.5,2021.783325,1890550
09-09-2019,2200,2202.850098,2179.800049,2182.850098,2008.304688,1703945
11-09-2019,2186,2195,2146.550049,2154,1981.761963,2627440
12-09-2019,2155,2165,2120.350098,2133.600098,1962.993042,2118859
13-09-2019,2135,2157.949951,2115.550049,2141.949951,1970.675293,2291174
16-09-2019,2159.949951,2173.399902,2126.399902,2150,1978.081543,2597948
17-09-2019,2154.949951,2156.550049,2105.600098,2122.649902,1952.918335,2796530
18-09-2019,2126.399902,2142.949951,2113.149902,2138.550049,1967.547119,1454663
19-09-2019,2135,2135.800049,2091,2101.949951,1933.873901,1652691
20-09-2019,2104.899902,2129.399902,2057,2065.449951,1900.292114,6941979
23-09-2019,2099,2099,1975,2015.800049,1854.612427,6323401
24-09-2019,2015,2061,2013,2044.699951,1881.201416,4620978
25-09-2019,2065,2092,2060.050049,2088.449951,1921.453003,4002232
26-09-2019,2097.899902,2107,2063,2087.600098,1920.671143,4234281
27-09-2019,2085,2085.199951,2051.399902,2056.149902,1891.735718,2046795
30-09-2019,2061.850098,2104,2060,2099.300049,1931.435669,2620039
01-10-2019,2095.949951,2095.949951,2039.699951,2059.949951,1895.231934,3342877
03-10-2019,2070,2081.149902,2046.150024,2060.25,1895.507935,2317618
04-10-2019,2060.600098,2087.949951,2054.949951,2079.350098,1913.080933,2163251
07-10-2019,2080,2094.5,2041,2047.699951,1883.961548,2177916
09-10-2019,2060,2060,2015.5,2020.099976,1858.568481,2066920
10-10-2019,2028,2039.050049,1997.099976,2004.449951,1844.170166,2881452
11-10-2019,1931,1995,1925,1986.849976,1827.977295,12593069
14-10-2019,1995,2032.75,1968,2021,1859.396606,3510704
15-10-2019,2032,2047,2022.699951,2037.300049,1874.393188,2261310
16-10-2019,2038,2056,2016,2046.400024,1882.765625,3034082
17-10-2019,2014,2038,1999.300049,2030.949951,1905.802979,3818774
18-10-2019,2037.5,2063.899902,2025,2057.350098,1930.576538,3087901
22-10-2019,2080,2111.5,2040.050049,2051.399902,1924.992554,5552505
23-10-2019,2060,2083.850098,2052.5,2070.100098,1942.540283,2348134
24-10-2019,2084,2099,2061.300049,2082,1953.706909,2798671
25-10-2019,2094,2130,2075.050049,2124.949951,1994.010376,3954245
27-10-2019,2129,2129,2108.800049,2115.699951,1985.330322,224405
